,hidden_dims,learning_rate,num_layers,shapelet_width_increment,mean_accuracy,std_accuracy,nfolds,dataset
0,50,0.01,5,50,0.8576411451675723,0.03188855617487616,3,NonInvasiveFatalECGThorax1
0,75,0.01,6,30,1.0,0.0,3,SyntheticControl
0,50,0.01,7,10,0.46230158730158727,0.12693761548986754,3,Adiac
0,25,0.01,4,50,1.0,0.0,3,Symbols
0,100,0.01,6,70,0.7771164021164022,0.03713728873377369,3,CricketY
0,50,0.1,4,30,0.6984126984126983,0.28703398920674805,3,Beef
0,50,0.01,7,50,0.7817460317460317,0.045070701157145086,3,CricketX
0,50,0.01,4,30,0.9333333333333332,0.11547005383792512,3,SonyAIBORobotSurface2
0,25,0.1,6,50,0.8333333333333334,0.2886751345948129,3,FaceFour
0,75,0.1,4,70,0.6472800620803963,0.10825202912316736,3,WordSynonyms
0,75,0.01,7,50,0.9333333333333332,0.11547005383792512,3,GunPoint
0,50,0.1,6,10,1.0,0.0,3,MoteStrain
0,75,0.01,7,50,0.7161972927303341,0.04054634718130884,3,UWaveGestureLibraryY
0,25,0.01,7,30,1.0,,1,CinCECGTorso
0,25,0.01,6,30,0.8645290970518934,0.024497371432587227,3,SwedishLeaf
0,25,0.1,4,30,1.0,0.0,3,CBF
0,75,0.01,8,30,0.9443053798256841,0.028375678344845754,3,StarLightCurves
0,50,0.1,6,10,0.8015873015873015,0.2160421839494635,3,OliveOil
0,25,0.01,4,10,0.8333333333333334,0.28867513459481287,3,SonyAIBORobotSurface1
0,75,0.01,4,10,0.8888888888888888,0.19245008972987532,3,TwoLeadECG
0,100,0.01,8,30,0.9707058975351659,0.005812306870472836,3,FacesUCR
0,50,0.01,4,50,0.8368140465281876,0.04922588525504206,3,Yoga
0,25,0.01,7,50,0.8400673400673401,0.0992695150693978,3,Fish
0,25,0.01,4,10,1.0,0.0,3,Trace
0,75,0.1,6,30,0.5263157894736842,,1,InlineSkate
0,25,0.01,6,50,0.9784130762750053,0.014913557792329564,3,FaceAll
0,25,0.01,4,50,1.0,0.0,3,ECGFiveDays
0,100,0.01,8,70,0.7863756613756614,0.06599521718038477,3,CricketZ
0,50,0.01,6,50,0.7236976004794372,0.05234136716031654,6,FiftyWords
0,75,0.01,7,10,0.7587965306604568,0.04305029035806557,3,MedicalImages
0,75,0.01,6,70,1.0,0.0,2,DiatomSizeReduction
